numero|limiteInferior|limiteSuperior|producto|tipoTarjeta|operacionPinpad|verificaModulo|verificaCodigoServicio|procesaTransaccionEMV|usoFuturo|permiteDiferidos|imprimeCapturaElectronica|montoFijoGasolineras|permiteEfectivo|enmascaramientoPan|validaImprimeTrack1|solicitaCVV|soportaIngresoManual|archivoGlosaImprimir|soportaDescuentoTransacciones|porcentajeDescuentosComprasCorrientesDiferidas|identificacionEtiquetaTipoTarjetaTransaccionesDescuentos|solicitaClaveTransaccionesEfectivo|imprimeTipoCuenta|imprimeSaldosCuenta|tipoProducto|restringirVentasContinuas|validarFechaVencimientoTarjeta|validarFechaAplicacionExpirada
0|416682|416685|08|0|0|1|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
1|423140|423144|08|1|3|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
2|423988|423988|08|0|0|1|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
3|436402|436403|08|0|0|1|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
4|438106|438106|08|1|3|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
5|438108|438108|08|1|3|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
6|439098|439098|08|1|3|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
7|444088|444088|08|0|3|1|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
8|446141|446141|08|1|3|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
9|454437|454437|08|1|3|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
10|468570|468571|08|1|3|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
11|475395|475395|08|1|3|1|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|1|1
12|492522|492523|08|0|0|1|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
13|493176|493176|08|1|3|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|1|0|0|0|0|0
14|400000|499999|01|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|0|0|0|0
15|504997|504997|20|1|0|0|1|0|0|0|1|0|0|0|0|0|0|A|0|0|0|0|0|0|1|1|0|0
16|505878|505878|20|1|0|0|1|0|0|0|1|0|0|0|0|0|0|A|0|0|0|0|0|0|1|1|0|0
17|505874|505874|20|0|0|0|1|0|0|1|1|0|0|1|0|0|0|B|0|0|0|0|0|0|1|1|0|0
18|505876|505877|20|0|0|0|1|0|0|1|1|0|0|1|0|0|0|B|0|0|0|0|0|0|1|1|0|0
19|505879|505881|20|0|0|0|1|0|0|1|1|0|0|1|0|0|0|B|0|0|0|0|0|0|1|1|0|0
20|222100|272099|02|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|0|0|0|0
21|500000|599999|02|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|0|0|0|0
22|600991|600991|04|1|1|0|1|0|0|0|1|0|0|1|1|0|0|A|0|0|0|0|0|0|0|0|0|0
23|601030|601030|12|5|0|0|1|0|0|0|1|0|0|0|0|0|0|A|0|0|0|0|0|0|0|1|0|0
24|601073|601094|12|5|0|0|1|0|0|1|1|0|0|0|0|0|0|B|0|0|0|0|0|0|0|1|0|0
25|627123|627123|05|1|1|0|1|0|0|0|1|0|0|1|0|0|0|A|0|0|0|0|0|0|0|0|0|0
26|34000000|34999999|23|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|A|0|0|0
27|36417000|36417199|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
28|36423400|36423499|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
29|36500100|36500199|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
30|36502300|36502399|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
31|36502500|36502599|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
32|36514700|36514799|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
33|36516600|36516999|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
34|36518100|36518199|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
35|36525300|36525399|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
36|36525600|36525699|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
37|36542000|36542599|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
38|36542600|36542699|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
39|36542700|36542999|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
40|36545300|36545499|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
41|36969600|36969699|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
42|36980500|36980599|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
43|36980700|36980799|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
44|36985100|36985199|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
45|36988600|36988699|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
46|36988800|36988899|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
47|36989800|36989899|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
48|36997000|36997099|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
49|36997200|36997299|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
50|36998000|36998099|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
51|36999100|36999199|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
52|36999700|36999799|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
53|36000000|36999999|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
54|37000000|37999999|23|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|A|0|0|0
55|38000000|38999999|21|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
56|60110000|60110999|24|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
57|60112000|60114999|24|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
58|60117400|60117499|24|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
59|60117700|60117999|24|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
60|60118600|60119999|24|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
61|64400000|65999999|24|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|D|0|0|0
62|600000|699999|02|0|0|1|1|0|0|1|1|0|0|1|1|0|0|B|0|0|0|0|0|0|0|0|0|0
